"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","TIME","Value",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2005","31.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2006","32.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2007","31.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2008","30.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2009","27.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2010","31.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2011","31.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2012","33.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2013","30.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2014","23.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2015","25.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2016","22.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2017","23.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","233","EST","Estonia","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2005","19.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2006","19.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2007","19.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2008","19.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2009","18.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2010","18.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2011","18.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2012","18.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2013","17.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2014","17.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2015","17.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2016","17.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2017","16.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","246","FIN","Finland","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2006","18.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2007","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2008","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2009","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2010","23.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2011","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2012","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2013","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2014","23.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2015","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2016","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2017","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","250","FRA","France","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2005","51.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2006","50.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2007","49.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2008","45.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2009","42.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2010","42.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2011","40.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2012","39.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2013","36.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2014","36.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2015","35.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2016","34.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2017","35.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","268","GEO","Georgia","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","276","DEU","Germany","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","276","DEU","Germany","2006","20.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","276","DEU","Germany","2007","..",
