"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2007","7.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2008","12.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2009","12.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2010","13.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2011","15.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2012","16.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2013","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2014","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2015","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2016","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2017","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2005","53.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2006","55.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2007","55.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2008","55.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2009","54.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2010","55.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2011","57.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2012","58.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2013","58.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2014","59.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2015","60.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2016","60.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","352","ISL","Iceland","2017","59.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2005","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2006","51.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2007","53.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2008","55.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2009","59.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2010","64.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2011","62.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2012","65.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2013","66.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2014","66.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2015","67.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2016","67.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","376","ISR","Israel","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2005","19.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2006","22.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2007","19.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2008","23.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2009","20.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2010","18.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2011","22.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2012","20.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2013","19.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2014","23.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2015","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","380","ITA","Italy","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2005","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2006","6.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2007","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2008","7.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2009","7.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","398","KAZ","Kazakhstan","2010","11.2",
